SOHR016-02  ,99,999,0,0,0,0,0,0,0,MW-PI-P,Tom Barrett,Tristan,Tristan,,20130828,DBMWV2New_20130911,0.4,2500,,,
0,0,0,-1.18E+02,-5.02E+00,-1.71E+02,1,0,999,99,08-13-2013,12:43:56,0NRM,0,NRM,10,0,0,0,0,0,0
288,7,5,-1.13E+02,2.52E+01,-1.70E+02,1,0,999,99,08-13-2013,12:47:44,1Z,1,Z,10,28.81,0,0,0,0,0
376,10,5,-1.10E+02,2.74E+01,-1.69E+02,1,0,999,99,08-13-2013,12:50:07,2Z,2,Z,10,37.6,0,0,0,0,0
470,13,5,-1.04E+02,3.02E+01,-1.69E+02,1,0,999,99,08-13-2013,12:53:12,3Z,3,Z,10,47.05,0,0,0,0,0
686,15,5,-9.06E+01,2.75E+01,-1.53E+02,1,0,999,99,08-13-2013,13:00:12,4Z,4,Z,10,68.61,0,0,0,0,0
781,18,5,-6.72E+01,2.10E+01,-1.17E+02,1,0,999,99,08-13-2013,13:03:34,5Z,5,Z,10,78.1,0,0,0,0,0
861,20,5,-5.45E+01,1.92E+01,-9.62E+01,1,0,999,99,08-13-2013,14:00:33,6Z,6,Z,10,86.14,0,0,0,0,0
934,23,5,-4.59E+01,1.57E+01,-8.15E+01,1,0,999,99,08-13-2013,14:04:24,7Z,7,Z,10,93.41,0,0,0,0,0
1022,25,5,-4.07E+01,1.41E+01,-7.32E+01,1,0,999,99,08-13-2013,14:06:46,8Z,8,Z,10,102.2,0,0,0,0,0
1132,30,5,-3.31E+01,1.38E+02,-3.91E+01,1,40,11,90,08-13-2013,14:16:34,9I,9,I,10,113.17,0,0,0,0,0
1236,35,5,-2.98E+01,1.48E+02,-2.94E+01,1,40,11,90,08-13-2013,14:20:22,10I,10,I,10,123.61,0,0,0,0,0
1304,40,5,-2.62E+01,1.59E+02,-2.36E+01,1,40,11,90,08-13-2013,14:23:01,11I,11,I,10,130.37,0,0,0,0,0
1493,40,6,-2.29E+01,1.78E+02,-1.23E+01,1,40,11,90,08-13-2013,14:26:17,12I,12,I,10,149.26,0,0,0,0,0
1702,40,7,-1.96E+01,1.96E+02,-3.71E+00,1,40,11,90,08-13-2013,14:29:22,13I,13,I,10,170.17,0,0,0,0,0
1939,40,8,-1.58E+01,2.15E+02,4.28E+00,1,40,11,90,08-13-2013,14:35:41,14I,14,I,10,193.94,0,0,0,0,0
2099,40,9,-1.39E+01,2.30E+02,1.11E+01,1,40,11,90,08-13-2013,14:38:18,15I,15,I,10,209.92,0,0,0,0,0
2508,40,11,-1.14E+01,2.53E+02,1.90E+01,1,40,11,90,08-13-2013,14:41:26,16I,16,I,10,250.8,0,0,0,0,0
2897,40,13,-9.97E+00,2.80E+02,2.92E+01,1,40,11,90,08-13-2013,14:45:13,17I,17,I,10,289.67,0,0,0,0,0
3297,40,15,-5.27E+00,3.15E+02,4.03E+01,1,40,11,90,08-13-2013,14:49:36,18I,18,I,10,329.66,0,0,0,0,0
END ,,,,,,,,,,,,,,,,,,,,,
SOHR016-03  ,99,999,0,0,0,0,0,0,0,MW-PI-P,Tom Barrett,Tristan,Tristan,,20130828,DBMWV2New_20130911,0.4,2500,,,
0,0,0,-1.08E+02,-6.76E+01,3.22E+01,1,0,999,99,08-13-2013,15:04:22,0NRM,0,NRM,50,0,0,0,0,0,0
196,5,5,-1.03E+02,-7.19E+01,1.20E+01,1,0,999,99,08-13-2013,15:08:57,1Z,1,Z,50,19.61,0,0,0,0,0
298,8,5,-9.92E+01,-7.35E+01,-5.33E+00,1,0,999,99,08-13-2013,15:12:40,2Z,2,Z,50,29.78,0,0,0,0,0
379,10,5,-9.58E+01,-7.40E+01,-2.02E+01,1,0,999,99,08-13-2013,15:15:40,3Z,3,Z,50,37.91,0,0,0,0,0
453,13,5,-9.18E+01,-7.34E+01,-3.51E+01,1,0,999,99,08-13-2013,15:18:21,4Z,4,Z,50,45.31,0,0,0,0,0
578,15,5,-8.67E+01,-7.10E+01,-5.16E+01,1,0,999,99,08-13-2013,15:20:48,5Z,5,Z,50,57.75,0,0,0,0,0
664,18,5,-7.93E+01,-6.65E+01,-5.94E+01,1,0,999,99,08-13-2013,15:22:56,6Z,6,Z,50,66.44,0,0,0,0,0
750,20,5,-6.96E+01,-6.02E+01,-6.01E+01,1,0,999,99,08-13-2013,15:25:02,7Z,7,Z,50,74.95,0,0,0,0,0
833,23,5,-6.17E+01,-5.37E+01,-5.73E+01,1,0,999,99,08-13-2013,15:27:16,8Z,8,Z,50,83.31,0,0,0,0,0
900,25,5,-5.76E+01,-5.00E+01,-5.61E+01,1,0,999,99,08-13-2013,15:29:33,9Z,9,Z,50,89.96,0,0,0,0,0
943,28,5,-5.56E+01,-4.92E+01,-5.53E+01,1,0,999,99,08-13-2013,15:32:12,10Z,10,Z,50,94.31,0,0,0,0,0
980,28,5,-5.04E+01,-4.50E+01,-5.25E+01,1,50,999,99,08-13-2013,15:34:24,11O,11,O,50,97.96,0,0,0,0,0
1001,30,5,-4.89E+01,-4.36E+01,-5.17E+01,1,0,999,99,08-13-2013,15:36:53,12Z,12,Z,50,100.1,0,0,0,0,0
1032,33,5,-4.68E+01,-4.15E+01,-5.05E+01,1,0,999,99,08-13-2013,15:42:27,13Z,13,Z,50,103.24,0,0,0,0,0
1103,35,5,-4.79E+01,4.20E+01,-1.11E+02,1,50,-39,90,08-13-2013,15:46:17,14I,14,I,50,110.26,0,0,0,0,0
1290,40,5,-3.01E+01,1.20E+02,-1.36E+02,1,50,-39,90,08-13-2013,15:48:49,15I,15,I,50,129.03,0,0,0,0,0
1739,40,7,-1.63E+01,1.64E+02,-1.47E+02,1,50,-39,90,08-13-2013,15:52:54,16I,16,I,50,173.94,0,0,0,0,0
2362,40,10,-1.31E+01,1.87E+02,-1.56E+02,1,50,-39,90,08-13-2013,15:56:35,17I,17,I,50,236.16,0,0,0,0,0
2727,40,12,-1.14E+01,2.02E+02,-1.64E+02,1,50,-39,90,08-13-2013,16:00:52,18I,18,I,50,272.69,0,0,0,0,0
3280,40,15,-1.04E+01,2.15E+02,-1.69E+02,1,50,-39,90,08-13-2013,16:04:35,19I,19,I,50,327.98,0,0,0,0,0
END ,,,,,,,,,,,,,,,,,,,,,
SOHR017-01  ,99,999,0,0,0,0,0,0,0,MW-PI-P,Tom Barrett,Tristan,Tristan,,20130828,DBMWV2New_20130911,0.4,2500,,,
0,0,0,-8.22E+01,-7.05E+01,8.39E+01,1,0,999,99,08-13-2013,16:13:06,0NRM,0,NRM,20,0,0,0,0,0,0
233,5,5,-8.09E+01,-6.89E+01,8.26E+01,1,0,999,99,08-13-2013,16:16:19,1Z,1,Z,20,23.26,0,0,0,0,0
345,8,5,-7.93E+01,-6.73E+01,8.11E+01,1,0,999,99,08-13-2013,16:18:33,2Z,2,Z,20,34.54,0,0,0,0,0
570,13,5,-7.13E+01,-6.06E+01,7.32E+01,1,0,999,99,08-13-2013,16:21:12,3Z,3,Z,20,56.98,0,0,0,0,0
716,15,5,-4.81E+01,-4.58E+00,8.63E+01,1,40,40,90,08-13-2013,16:28:19,4I,4,I,20,71.63,0,0,0,0,0
791,18,5,-3.57E+01,1.96E+01,8.68E+01,1,40,40,90,08-13-2013,16:31:43,5I,5,I,20,79.12,0,0,0,0,0
890,20,5,-3.00E+01,3.37E+01,8.79E+01,1,40,40,90,08-13-2013,16:33:38,6I,6,I,20,88.99,0,0,0,0,0
1001,25,5,-2.41E+01,5.06E+01,9.42E+01,1,40,40,90,08-13-2013,16:35:37,7I,7,I,20,100.08,0,0,0,0,0
1092,30,5,-2.32E+01,5.74E+01,9.97E+01,1,40,40,90,08-13-2013,16:38:10,8I,8,I,20,109.21,0,0,0,0,0
1173,35,5,-2.21E+01,6.57E+01,1.04E+02,1,40,40,90,08-13-2013,16:41:50,9I,9,I,20,117.31,0,0,0,0,0
1260,40,5,-2.11E+01,7.04E+01,1.08E+02,1,40,40,90,08-13-2013,16:44:14,10I,10,I,20,125.95,0,0,0,0,0
1474,40,6,-1.79E+01,8.03E+01,1.11E+02,1,40,40,90,08-13-2013,16:46:38,11I,11,I,20,147.41,0,0,0,0,0
1703,40,7,-1.38E+01,9.29E+01,1.18E+02,1,40,40,90,08-13-2013,16:49:23,12I,12,I,20,170.29,0,0,0,0,0
1943,40,8,-9.46E+00,1.07E+02,1.24E+02,1,40,40,90,08-13-2013,16:52:22,13I,13,I,20,194.28,0,0,0,0,0
2164,40,9,-6.37E+00,1.20E+02,1.32E+02,1,40,40,90,08-13-2013,16:55:10,14I,14,I,20,216.41,0,0,0,0,0
2388,40,10,-3.00E+00,1.36E+02,1.44E+02,1,40,40,90,08-13-2013,16:57:57,15I,15,I,20,238.81,0,0,0,0,0
2614,40,11,4.32E-02,1.53E+02,1.55E+02,1,40,40,90,08-13-2013,17:00:37,16I,16,I,20,261.39,0,0,0,0,0
2842,40,12,3.27E+00,1.66E+02,1.63E+02,1,40,40,90,08-13-2013,17:07:10,17I,17,I,20,284.25,0,0,0,0,0
END ,,,,,,,,,,,,,,,,,,,,,
SOHR017-02  ,99,999,0,0,0,0,0,0,0,MW-PI-P,Tom Barrett,Tristan,Tristan,,20130828,DBMWV2New_20130911,0.4,2500,,,
0,0,0,-8.55E+01,1.86E+02,6.60E+01,1,0,0,0,08-14-2013,14:11:45,0NRM,0,NRM,20,0,0,0,0,0,0
225,5,5,-8.47E+01,1.85E+02,6.73E+01,1,0,999,99,08-14-2013,14:14:30,1Z,1,Z,20,22.49,0,0,0,0,0
333,8,5,-8.36E+01,1.83E+02,6.75E+01,1,0,999,99,08-14-2013,14:16:19,2Z,2,Z,20,33.31,0,0,0,0,0
456,10,5,-8.14E+01,1.79E+02,6.71E+01,1,0,999,99,08-14-2013,14:18:17,3Z,3,Z,20,45.6,0,0,0,0,0
549,13,5,-7.95E+01,1.78E+02,5.59E+01,1,40,90,-70,08-14-2013,14:22:45,4I,4,I,20,54.89,0,0,0,0,0
648,15,5,-7.72E+01,1.75E+02,4.92E+01,1,40,90,-70,08-14-2013,14:25:22,5I,5,I,20,64.77,0,0,0,0,0
802,20,5,-6.61E+01,1.60E+02,1.03E+01,1,40,90,-70,08-14-2013,14:27:40,6I,6,I,20,80.21,0,0,0,0,0
925,25,5,-4.98E+01,1.40E+02,-5.00E+01,1,40,90,-70,08-14-2013,14:30:05,7I,7,I,20,92.51,0,0,0,0,0
1070,30,5,-3.39E+01,1.17E+02,-1.07E+02,1,40,90,-70,08-14-2013,14:33:40,8I,8,I,20,107.04,0,0,0,0,0
1146,35,5,-2.84E+01,1.07E+02,-1.25E+02,1,40,90,-70,08-14-2013,14:36:28,9I,9,I,20,114.55,0,0,0,0,0
1259,40,5,-2.56E+01,1.04E+02,-1.31E+02,1,40,90,-70,08-14-2013,14:38:38,10I,10,I,20,125.87,0,0,0,0,0
1435,40,6,-2.25E+01,9.84E+01,-1.46E+02,1,40,90,-70,08-14-2013,14:41:00,11I,11,I,20,143.52,0,0,0,0,0
1849,40,8,-1.62E+01,9.16E+01,-1.71E+02,1,40,90,-70,08-14-2013,14:43:26,12I,12,I,20,184.91,0,0,0,0,0
2249,40,10,-1.64E+01,9.29E+01,-1.94E+02,1,40,90,-70,08-14-2013,14:46:49,13I,13,I,20,224.89,0,0,0,0,0
2568,40,12,-1.86E+01,9.92E+01,-2.13E+02,1,40,90,-70,08-14-2013,14:49:54,14I,14,I,20,256.77,0,0,0,0,0
3092,40,15,-2.10E+01,1.11E+02,-2.43E+02,1,40,90,-70,08-14-2013,14:53:13,15I,15,I,20,309.16,0,0,0,0,0
END 
